Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
hand,young,yes,400.000000,1233.788940,2790.000000
hand,young,yes,400.000000,1233.463989,2786.000000
hand,young,yes,400.000000,1233.139038,2778.000000
hand,young,yes,400.000000,1232.813965,2812.000000
hand,young,yes,400.000000,1232.489014,2853.000000
hand,young,yes,400.000000,1232.163940,2841.000000
hand,young,yes,400.000000,1231.839966,2791.000000
hand,young,yes,400.000000,1231.515015,2800.000000
hand,young,yes,400.000000,1231.189941,2795.000000
hand,young,yes,400.000000,1230.864990,2844.000000
hand,young,yes,400.000000,1230.540039,2811.000000
hand,young,yes,400.000000,1230.214966,2817.000000
hand,young,yes,400.000000,1229.890015,2833.000000
hand,young,yes,400.000000,1229.564941,2848.000000
hand,young,yes,400.000000,1229.239990,2827.000000
hand,young,yes,400.000000,1228.916016,2812.000000
hand,young,yes,400.000000,1228.590942,2860.000000
hand,young,yes,400.000000,1228.265991,2824.000000
hand,young,yes,400.000000,1227.941040,2790.000000
hand,young,yes,400.000000,1227.615967,2804.000000
hand,young,yes,400.000000,1227.291016,2800.000000
hand,young,yes,400.000000,1226.965942,2870.000000
hand,young,yes,400.000000,1226.640991,2866.000000
hand,young,yes,400.000000,1226.317017,2847.000000
hand,young,yes,400.000000,1225.991943,2833.000000
hand,young,yes,400.000000,1225.666992,2804.000000
hand,young,yes,400.000000,1225.342041,2808.000000
hand,young,yes,400.000000,1225.016968,2829.000000
hand,young,yes,400.000000,1224.692017,2807.000000
hand,young,yes,400.000000,1224.366943,2854.000000
hand,young,yes,400.000000,1224.041992,2808.000000
hand,young,yes,400.000000,1223.717041,2811.000000
hand,young,yes,400.000000,1223.392944,2823.000000
hand,young,yes,400.000000,1223.067993,2877.000000
hand,young,yes,400.000000,1222.743042,2821.000000
hand,young,yes,400.000000,1222.417969,2808.000000
hand,young,yes,400.000000,1222.093018,2816.000000
hand,young,yes,400.000000,1221.767944,2797.000000
hand,young,yes,400.000000,1221.442993,2825.000000
hand,young,yes,400.000000,1221.118042,2776.000000
hand,young,yes,400.000000,1220.793945,2836.000000
hand,young,yes,400.000000,1220.468994,2851.000000
hand,young,yes,400.000000,1220.144043,2808.000000
hand,young,yes,400.000000,1219.818970,2812.000000
hand,young,yes,400.000000,1219.494019,2817.000000
hand,young,yes,400.000000,1219.168945,2896.000000
hand,young,yes,400.000000,1218.843994,2826.000000
hand,young,yes,400.000000,1218.519043,2846.000000
hand,young,yes,400.000000,1218.193970,2773.000000
hand,young,yes,400.000000,1217.869995,2840.000000
hand,young,yes,400.000000,1217.545044,2840.000000
hand,young,yes,400.000000,1217.219971,2833.000000
hand,young,yes,400.000000,1216.895020,2834.000000
hand,young,yes,400.000000,1216.569946,2850.000000
hand,young,yes,400.000000,1216.244995,2828.000000
hand,young,yes,400.000000,1215.920044,2826.000000
hand,young,yes,400.000000,1215.594971,2831.000000
hand,young,yes,400.000000,1215.270996,2812.000000
hand,young,yes,400.000000,1214.946045,2832.000000
hand,young,yes,400.000000,1214.620972,2833.000000
hand,young,yes,400.000000,1214.296021,2777.000000
hand,young,yes,400.000000,1213.970947,2819.000000
hand,young,yes,400.000000,1213.645996,2871.000000
hand,young,yes,400.000000,1213.321045,2832.000000
hand,young,yes,400.000000,1212.995972,2827.000000
hand,young,yes,400.000000,1212.671021,2827.000000
hand,young,yes,400.000000,1212.347046,2797.000000
hand,young,yes,400.000000,1212.021973,2800.000000
hand,young,yes,400.000000,1211.697021,2810.000000
hand,young,yes,400.000000,1211.371948,2821.000000
hand,young,yes,400.000000,1211.046997,2811.000000
hand,young,yes,400.000000,1210.722046,2822.000000
hand,young,yes,400.000000,1210.396973,2838.000000
hand,young,yes,400.000000,1210.072021,2798.000000
hand,young,yes,400.000000,1209.746948,2835.000000
hand,young,yes,400.000000,1209.422974,2856.000000
hand,young,yes,400.000000,1209.098022,2786.000000
hand,young,yes,400.000000,1208.772949,2750.000000
hand,young,yes,400.000000,1208.447998,2780.000000
hand,young,yes,400.000000,1208.123047,2791.000000
hand,young,yes,400.000000,1207.797974,2778.000000
hand,young,yes,400.000000,1207.473022,2844.000000
hand,young,yes,400.000000,1207.147949,2839.000000
hand,young,yes,400.000000,1206.823975,2849.000000
hand,young,yes,400.000000,1206.499023,2838.000000
hand,young,yes,400.000000,1206.173950,2839.000000
hand,young,yes,400.000000,1205.848999,2825.000000
hand,young,yes,400.000000,1205.524048,2835.000000
hand,young,yes,400.000000,1205.198975,2834.000000
hand,young,yes,400.000000,1204.874023,2807.000000
hand,young,yes,400.000000,1204.548950,2798.000000
hand,young,yes,400.000000,1204.223999,2825.000000
hand,young,yes,400.000000,1203.900024,2815.000000
hand,young,yes,400.000000,1203.574951,2770.000000
hand,young,yes,400.000000,1203.250000,2762.000000
hand,young,yes,400.000000,1202.925049,2811.000000
hand,young,yes,400.000000,1202.599976,2789.000000
hand,young,yes,400.000000,1202.275024,2846.000000
hand,young,yes,400.000000,1201.949951,2859.000000
hand,young,yes,400.000000,1201.625000,2777.000000
hand,young,yes,400.000000,1201.301025,2862.000000
hand,young,yes,400.000000,1200.975952,2801.000000
hand,young,yes,400.000000,1200.651001,2821.000000
hand,young,yes,400.000000,1200.326050,2792.000000
hand,young,yes,400.000000,1200.000977,2829.000000
hand,young,yes,400.000000,1199.676025,2787.000000
hand,young,yes,400.000000,1199.350952,2830.000000
hand,young,yes,400.000000,1199.026001,2777.000000
hand,young,yes,400.000000,1198.701050,2806.000000
hand,young,yes,400.000000,1198.376953,2852.000000
