Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
stickynote,young,no,530.000000,1233.788940,2838.000000
stickynote,young,no,530.000000,1233.463989,2831.000000
stickynote,young,no,530.000000,1233.139038,2823.000000
stickynote,young,no,530.000000,1232.813965,2784.000000
stickynote,young,no,530.000000,1232.489014,2835.000000
stickynote,young,no,530.000000,1232.163940,2855.000000
stickynote,young,no,530.000000,1231.839966,2866.000000
stickynote,young,no,530.000000,1231.515015,2800.000000
stickynote,young,no,530.000000,1231.189941,2838.000000
stickynote,young,no,530.000000,1230.864990,2842.000000
stickynote,young,no,530.000000,1230.540039,2821.000000
stickynote,young,no,530.000000,1230.214966,2809.000000
stickynote,young,no,530.000000,1229.890015,2841.000000
stickynote,young,no,530.000000,1229.564941,2807.000000
stickynote,young,no,530.000000,1229.239990,2806.000000
stickynote,young,no,530.000000,1228.916016,2758.000000
stickynote,young,no,530.000000,1228.590942,2844.000000
stickynote,young,no,530.000000,1228.265991,2877.000000
stickynote,young,no,530.000000,1227.941040,2903.000000
stickynote,young,no,530.000000,1227.615967,2829.000000
stickynote,young,no,530.000000,1227.291016,2820.000000
stickynote,young,no,530.000000,1226.965942,2822.000000
stickynote,young,no,530.000000,1226.640991,2823.000000
stickynote,young,no,530.000000,1226.317017,2796.000000
stickynote,young,no,530.000000,1225.991943,2828.000000
stickynote,young,no,530.000000,1225.666992,2806.000000
stickynote,young,no,530.000000,1225.342041,2776.000000
stickynote,young,no,530.000000,1225.016968,2797.000000
stickynote,young,no,530.000000,1224.692017,2867.000000
stickynote,young,no,530.000000,1224.366943,2828.000000
stickynote,young,no,530.000000,1224.041992,2864.000000
stickynote,young,no,530.000000,1223.717041,2838.000000
stickynote,young,no,530.000000,1223.392944,2864.000000
stickynote,young,no,530.000000,1223.067993,2851.000000
stickynote,young,no,530.000000,1222.743042,2848.000000
stickynote,young,no,530.000000,1222.417969,2803.000000
stickynote,young,no,530.000000,1222.093018,2803.000000
stickynote,young,no,530.000000,1221.767944,2881.000000
stickynote,young,no,530.000000,1221.442993,2792.000000
stickynote,young,no,530.000000,1221.118042,2842.000000
stickynote,young,no,530.000000,1220.793945,2849.000000
stickynote,young,no,530.000000,1220.468994,2807.000000
stickynote,young,no,530.000000,1220.144043,2793.000000
stickynote,young,no,530.000000,1219.818970,2826.000000
stickynote,young,no,530.000000,1219.494019,2810.000000
stickynote,young,no,530.000000,1219.168945,2791.000000
stickynote,young,no,530.000000,1218.843994,2842.000000
stickynote,young,no,530.000000,1218.519043,2760.000000
stickynote,young,no,530.000000,1218.193970,2799.000000
stickynote,young,no,530.000000,1217.869995,2833.000000
stickynote,young,no,530.000000,1217.545044,2828.000000
stickynote,young,no,530.000000,1217.219971,2797.000000
stickynote,young,no,530.000000,1216.895020,2787.000000
stickynote,young,no,530.000000,1216.569946,2809.000000
stickynote,young,no,530.000000,1216.244995,2786.000000
stickynote,young,no,530.000000,1215.920044,2836.000000
stickynote,young,no,530.000000,1215.594971,2829.000000
stickynote,young,no,530.000000,1215.270996,2810.000000
