Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
foam,young,yes,530.000000,1233.788940,2844.000000
foam,young,yes,530.000000,1233.463989,2844.000000
foam,young,yes,530.000000,1233.139038,2782.000000
foam,young,yes,530.000000,1232.813965,2824.000000
foam,young,yes,530.000000,1232.489014,2834.000000
foam,young,yes,530.000000,1232.163940,2848.000000
foam,young,yes,530.000000,1231.839966,2857.000000
foam,young,yes,530.000000,1231.515015,2783.000000
foam,young,yes,530.000000,1231.189941,2827.000000
foam,young,yes,530.000000,1230.864990,2814.000000
foam,young,yes,530.000000,1230.540039,2828.000000
foam,young,yes,530.000000,1230.214966,2856.000000
foam,young,yes,530.000000,1229.890015,2830.000000
foam,young,yes,530.000000,1229.564941,2823.000000
foam,young,yes,530.000000,1229.239990,2840.000000
foam,young,yes,530.000000,1228.916016,2833.000000
foam,young,yes,530.000000,1228.590942,2873.000000
foam,young,yes,530.000000,1228.265991,2853.000000
foam,young,yes,530.000000,1227.941040,2852.000000
foam,young,yes,530.000000,1227.615967,2832.000000
foam,young,yes,530.000000,1227.291016,2847.000000
foam,young,yes,530.000000,1226.965942,2871.000000
foam,young,yes,530.000000,1226.640991,2838.000000
foam,young,yes,530.000000,1226.317017,2838.000000
foam,young,yes,530.000000,1225.991943,2863.000000
foam,young,yes,530.000000,1225.666992,2851.000000
foam,young,yes,530.000000,1225.342041,2827.000000
foam,young,yes,530.000000,1225.016968,2871.000000
foam,young,yes,530.000000,1224.692017,2875.000000
foam,young,yes,530.000000,1224.366943,2828.000000
foam,young,yes,530.000000,1224.041992,2812.000000
foam,young,yes,530.000000,1223.717041,2802.000000
foam,young,yes,530.000000,1223.392944,2886.000000
foam,young,yes,530.000000,1223.067993,2843.000000
foam,young,yes,530.000000,1222.743042,2839.000000
foam,young,yes,530.000000,1222.417969,2767.000000
foam,young,yes,530.000000,1222.093018,2825.000000
foam,young,yes,530.000000,1221.767944,2857.000000
foam,young,yes,530.000000,1221.442993,2874.000000
foam,young,yes,530.000000,1221.118042,2850.000000
foam,young,yes,530.000000,1220.793945,2826.000000
foam,young,yes,530.000000,1220.468994,2856.000000
foam,young,yes,530.000000,1220.144043,2868.000000
foam,young,yes,530.000000,1219.818970,2833.000000
foam,young,yes,530.000000,1219.494019,2788.000000
foam,young,yes,530.000000,1219.168945,2859.000000
foam,young,yes,530.000000,1218.843994,2862.000000
foam,young,yes,530.000000,1218.519043,2853.000000
foam,young,yes,530.000000,1218.193970,2828.000000
foam,young,yes,530.000000,1217.869995,2854.000000
foam,young,yes,530.000000,1217.545044,2799.000000
foam,young,yes,530.000000,1217.219971,2799.000000
foam,young,yes,530.000000,1216.895020,2852.000000
foam,young,yes,530.000000,1216.569946,2871.000000
foam,young,yes,530.000000,1216.244995,2850.000000
foam,young,yes,530.000000,1215.920044,2855.000000
foam,young,yes,530.000000,1215.594971,2846.000000
foam,young,yes,530.000000,1215.270996,2829.000000
foam,young,yes,530.000000,1214.946045,2877.000000
foam,young,yes,530.000000,1214.620972,2817.000000
foam,young,yes,530.000000,1214.296021,2835.000000
foam,young,yes,530.000000,1213.970947,2792.000000
foam,young,yes,530.000000,1213.645996,2862.000000
foam,young,yes,530.000000,1213.321045,2818.000000
foam,young,yes,530.000000,1212.995972,2807.000000
foam,young,yes,530.000000,1212.671021,2858.000000
foam,young,yes,530.000000,1212.347046,2897.000000
foam,young,yes,530.000000,1212.021973,2777.000000
foam,young,yes,530.000000,1211.697021,2855.000000
foam,young,yes,530.000000,1211.371948,2794.000000
foam,young,yes,530.000000,1211.046997,2815.000000
foam,young,yes,530.000000,1210.722046,2790.000000
foam,young,yes,530.000000,1210.396973,2835.000000
foam,young,yes,530.000000,1210.072021,2841.000000
foam,young,yes,530.000000,1209.746948,2839.000000
foam,young,yes,530.000000,1209.422974,2848.000000
foam,young,yes,530.000000,1209.098022,2795.000000
foam,young,yes,530.000000,1208.772949,2866.000000
foam,young,yes,530.000000,1208.447998,2802.000000
foam,young,yes,530.000000,1208.123047,2858.000000
foam,young,yes,530.000000,1207.797974,2804.000000
foam,young,yes,530.000000,1207.473022,2807.000000
foam,young,yes,530.000000,1207.147949,2887.000000
foam,young,yes,530.000000,1206.823975,2862.000000
foam,young,yes,530.000000,1206.499023,2812.000000
foam,young,yes,530.000000,1206.173950,2817.000000
foam,young,yes,530.000000,1205.848999,2808.000000
foam,young,yes,530.000000,1205.524048,2810.000000
foam,young,yes,530.000000,1205.198975,2863.000000
foam,young,yes,530.000000,1204.874023,2830.000000
foam,young,yes,530.000000,1204.548950,2842.000000
foam,young,yes,530.000000,1204.223999,2833.000000
foam,young,yes,530.000000,1203.900024,2812.000000
foam,young,yes,530.000000,1203.574951,2824.000000
foam,young,yes,530.000000,1203.250000,2836.000000
foam,young,yes,530.000000,1202.925049,2869.000000
foam,young,yes,530.000000,1202.599976,2846.000000
foam,young,yes,530.000000,1202.275024,2783.000000
foam,young,yes,530.000000,1201.949951,2827.000000
foam,young,yes,530.000000,1201.625000,2837.000000
foam,young,yes,530.000000,1201.301025,2826.000000
foam,young,yes,530.000000,1200.975952,2859.000000
foam,young,yes,530.000000,1200.651001,2864.000000
